,,SAC-LSTM,,,,SAC-FF,,,,LC,,,
,,Sine,,Step,,Sine,,Step,,Sine,,Step,
Group,TestCase,nMAE,CA,nMAE,CA,nMAE,CA,nMAE,CA,nMAE,CA,nMAE,CA
Linear,$ bs text{TC-1} $,$5.9 bs_per $,$ bs SI{2.9e-02}{} $,$7.1 bs_per $,$ bs SI{3.8e-02}{} $,$6.6 bs_per $,$ bs SI{1.6e-02}{} $,$8.1 bs_per $,$ bs SI{2.6e-02}{} $,$4.6 bs_per $,$ bs SI{2.6e-02}{} $,$5.6 bs_per $,$ bs SI{4.5e-02}{} $
,$ bs text{TC-2} $,$6.7 bs_per $,$ bs SI{6.4e-02}{} $,$9.5 bs_per $,$ bs SI{8.7e-02}{} $,$7.7 bs_per $,bs cellcolor[HTML]{FE996B} $ bs SI{3.8e-01}{} $,bs cellcolor[HTML]{FE996B} $ 10.6 bs_per $,bs cellcolor[HTML]{FE996B} $ bs SI{4.1e-01}{} $,bs cellcolor[HTML]{FE996B} $ 74.7 bs_per $,bs cellcolor[HTML]{FE996B} $ bs SI{2.8e-01}{} $,bs cellcolor[HTML]{FE996B} $ 55.5 bs_per $,bs cellcolor[HTML]{FE996B} $ bs SI{2.9e-01}{} $
,$ bs text{TC-3} $,$6.6 bs_per $,$ bs SI{6.8e-02}{} $,$9.3 bs_per $,$ bs SI{8.7e-02}{} $,$7.6 bs_per $,bs cellcolor[HTML]{FE996B} $ bs SI{6.1e-01}{} $,bs cellcolor[HTML]{FE996B} $ 10.4 bs_per $,bs cellcolor[HTML]{FE996B} $ bs SI{8.2e-01}{} $,bs cellcolor[HTML]{FE996B} $ 65.1 bs_per $,bs cellcolor[HTML]{FE996B} $ bs SI{3.1e-01}{} $,bs cellcolor[HTML]{FE996B} $ 51.6 bs_per $,bs cellcolor[HTML]{FE996B} $ bs SI{3.3e-01}{} $
,$ bs text{TC-4} $,$6.7 bs_per $,$ bs SI{6.4e-02}{} $,$8.8 bs_per $,$ bs SI{8.5e-02}{} $,$7.7 bs_per $,bs cellcolor[HTML]{FE996B} $ bs SI{3.7e-01}{} $,bs cellcolor[HTML]{FE996B} $ 10.0 bs_per $,bs cellcolor[HTML]{FE996B} $ bs SI{4.3e-01}{} $,$4.7 bs_per $,bs cellcolor[HTML]{FE996B} $ bs SI{5.7e-01}{} $,$8.0 bs_per $,bs cellcolor[HTML]{FE996B} $ bs SI{5.5e-01}{} $
,$ bs text{TC-5} $,$6.5 bs_per $,$ bs SI{6.5e-02}{} $,$8.0 bs_per $,$ bs SI{8.8e-02}{} $,$7.1 bs_per $,bs cellcolor[HTML]{FE996B} $ bs SI{3.7e+00}{} $,bs cellcolor[HTML]{FE996B} $ 10.7 bs_per $,bs cellcolor[HTML]{FE996B} $ bs SI{6.1e+00}{} $,$4.7 bs_per $,bs cellcolor[HTML]{FE996B} $ bs SI{5.7e-01}{} $,$6.2 bs_per $,bs cellcolor[HTML]{FE996B} $ bs SI{6.0e-01}{} $
,$ bs text{TC-6} $,$5.9 bs_per $,$ bs SI{6.8e-02}{} $,$7.7 bs_per $,$ bs SI{8.6e-02}{} $,$7.3 bs_per $,bs cellcolor[HTML]{FE996B} $ bs SI{4.4e-01}{} $,$8.5 bs_per $,bs cellcolor[HTML]{FE996B} $ bs SI{4.6e-01}{} $,$4.7 bs_per $,bs cellcolor[HTML]{FE996B} $ bs SI{5.5e-01}{} $,bs cellcolor[HTML]{FE996B} $ 33.5 bs_per $,bs cellcolor[HTML]{FE996B} $ bs SI{3.6e-01}{} $
,$ bs text{TC-7} $,$5.7 bs_per $,$ bs SI{6.7e-02}{} $,$7.7 bs_per $,$ bs SI{8.1e-02}{} $,$7.3 bs_per $,bs cellcolor[HTML]{FE996B} $ bs SI{8.1e-01}{} $,$8.3 bs_per $,bs cellcolor[HTML]{FE996B} $ bs SI{9.4e-01}{} $,$4.7 bs_per $,bs cellcolor[HTML]{FE996B} $ bs SI{5.9e-01}{} $,bs cellcolor[HTML]{FE996B} $ 30.4 bs_per $,bs cellcolor[HTML]{FE996B} $ bs SI{3.9e-01}{} $
,$ bs text{TC-8} $,$5.8 bs_per $,$ bs SI{6.7e-02}{} $,$7.0 bs_per $,$ bs SI{8.6e-02}{} $,$7.3 bs_per $,bs cellcolor[HTML]{FE996B} $ bs SI{4.5e-01}{} $,$7.9 bs_per $,bs cellcolor[HTML]{FE996B} $ bs SI{4.6e-01}{} $,$4.7 bs_per $,bs cellcolor[HTML]{FE996B} $ bs SI{5.3e-01}{} $,$5.9 bs_per $,bs cellcolor[HTML]{FE996B} $ bs SI{5.7e-01}{} $
